city,population_2000,population_2017,pop_growth_%,median_income_2000,median_income_2017,income_growth_%,median_house_2000,median_house_2017,median_house_growth_%,crime_index_2005,crime_index_2018,crime_increase_%,poverty_rate_%
Frisco-Texas,33710,177286,425.9,79149,122302,54.52,156000,404100,159.04,236.4,95.8,-5.25,4.8
Renton-Washington,50063,101379,102.5,45820,78703,71.77,172800,401600,132.41,618.2,358.1,9.59,8.8
Arlington-Heights-Illinois,76014,75634,-0.5,67807,101634,49.89,222900,377500,69.36,99.5,53.3,-5.15,3.7
Santa-Fe-New-Mexico,62194,83776,34.7,40392,57022,41.17,177200,283000,59.71,496.8,343.9,-6.51,11.2
Fort-Lauderdale-Florida,152345,180072,18.2,37887,56309,48.62,132600,329500,148.49,600.8,413.8,0.96,18.8
Sparks-Nevada,66330,100888,52.1,45745,58961,28.89,138900,305800,120.16,350.4,279.8,-1.24,8.3
Boca-Raton-Florida,74752,98150,31.3,60248,80815,34.14,195200,459200,135.25,252.1,179.5,6.1,9.4
Lynn-Massachusetts,89074,94063,5.6,37364,48900,30.87,145300,336100,131.31,472.9,244.6,6.25,16.1
Miami-Florida,362556,463347,27.8,23483,40327,71.73,116400,322100,176.72,725.7,346.8,5.76,22.7
Plymouth-Minnesota,65878,78395,19,77008,97770,26.96,191100,361900,89.38,143.6,79.3,14.15,3.3
Medford-Oregon,63150,81780,29.5,36481,48825,33.84,128500,270400,110.43,418,386.8,32.87,17.8
Clovis-California,68471,109691,60.2,42283,78146,84.82,122100,319100,161.34,268.1,171.2,14.52,9.9
Fayetteville-Arkansas,58037,85257,46.9,31345,42365,35.16,97700,218300,123.44,366.6,387.1,-2.55,21.4
Riverside-California,255239,327728,28.4,41646,66928,60.71,136000,368600,171.03,436.4,312.3,5.33,12.8
Sandy-Utah,88449,96145,8.7,66458,88481,33.14,180700,347300,92.2,213.3,199.6,-0.47,4.9
Fort-Collins-Colorado,118677,165080,39.1,44459,60731,36.6,164000,366500,123.48,299.9,160.8,7.76,17
Longmont-Colorado,71093,94341,32.7,51174,73832,44.28,173800,366900,111.1,222.5,298.8,18.1,12.7
Sacramento-California,407056,501901,23.3,37049,56943,53.7,126000,335900,166.59,644.1,337.6,-3.27,15.6
New-Bedford-Massachusetts,93806,95120,1.4,27569,45784,66.07,113500,236200,108.11,469.1,303.4,-7,18.3
Lakewood-Colorado,144146,154958,7.5,48109,67255,39.8,169000,385200,127.93,450.6,448.2,10.71,10.2
Norwalk-Connecticut,82949,89005,7.3,59839,70236,17.37,249300,423500,69.88,255.2,143,15.95,11.4
St.-George-Utah,49650,84405,70,36505,54210,48.5,135100,289500,114.29,244.3,164.8,9.16,13.2
Mount-Vernon-New-York,68361,68703,0.5,41128,55564,35.1,224300,341400,52.21,382,224.4,-8.44,8
Franklin-Tennessee,41838,78321,87.2,56431,96199,70.47,179500,412900,130.03,151.3,98.8,12.49,4.5
Jersey-City-New-Jersey,240029,270753,12.8,37862,66264,75.01,137900,379900,175.49,574,230,12.59,14.5
Fontana-California,128919,211815,64.3,45782,67067,46.49,128700,373600,190.29,278.4,184.4,6.34,13.4
Rockville-Maryland,47401,68401,44.3,68074,100388,47.47,192800,484000,151.04,,,,5.3
Santa-Clarita-California,151065,210888,39.6,66717,90961,36.34,216900,536700,147.44,169.5,105.1,-0.82,9.7
Rancho-Cucamonga-California,127755,177452,38.9,60931,90034,47.76,176400,488000,176.64,211.5,162.1,14.63,6.6
Oceanside-California,161053,176193,9.4,46301,71609,54.66,185400,514600,177.56,338.5,222.6,12.46,10.5
Eugene-Oregon,137890,168916,22.5,35850,50592,41.12,145000,279000,92.41,435.5,288.3,18.6,19
Carmel-Indiana,37739,92198,144.3,81583,109858,34.66,201400,345900,71.75,94.7,53.8,-0.53,2.2
Norwalk-California,103295,106084,2.7,46047,74730,62.29,160100,441000,175.45,287.2,225.9,-2.21,8.2
Bismarck-North-Dakota,55537,72865,31.2,39422,62755,59.19,90300,247400,173.98,151.9,235.2,-23.9,8.5
Arvada-Colorado,102155,118807,16.3,55541,81787,47.26,173200,382700,120.96,246,218.6,18.44,6.8
Beaverton-Oregon,76123,97514,28.1,47863,71979,50.39,186100,389500,109.3,243.2,181,28.41,8.8
Roseville-California,79934,135329,69.3,57367,80426,40.2,192300,441100,129.38,328,181.2,15.05,9.8
Evanston-Illinois,74236,74756,0.7,56335,77821,38.14,229500,374300,63.09,273.4,161.3,-5.53,12.8
Oxnard-California,170346,210037,23.3,48603,68994,41.95,183200,458400,150.22,271.1,242,4.27,13.7
Naperville-Illinois,128307,147682,15.1,88771,126217,42.18,248200,410000,65.19,138.7,78.2,30.97,2.9
Cary-North-Carolina,94532,165904,75.5,75122,99209,32.06,193000,356800,84.87,131.1,68.7,-3.53,5.6
Framingham-Massachusetts,66894,72045,7.7,54288,84050,54.82,210800,420300,99.38,197.4,143.4,6.47,11.2
