Location,Occupied Housing Units,Home Value 2018,Home Value 2010,Home Value CAGR,Median Rent 2018,Median Rent 2010,Rent CAGR,Rental Vacancy Rate,Vacancy Expense (monthly),Vacancy Expense Final,Taxes,Insurance Final,Capex Final,Property Management,Insurance,Capex,CoCR,CoCR If invested in 2011,CoCR Delta,Rent to Price Ratio
"Eau Claire , Wisconsin",27495,146200,140900,0%,815,552,4.4%,6%,$46,$46, $	241.00 , $	63.53 , $	156.06 ,$81.50, $	65.67 ,$81.50,1.87%,1.94%,0.07%,0.56%
"Sugar Land , Texas",38373,309000,234700,3%,1719,1105,5.0%,8%,$141,$141, $	540.92 , $	365.51 , $	253.49 ,$171.90, $	162.08 ,$171.90,0.96%,1.26%,0.30%,0.56%
"Springfield , Massachusetts",56476,152400,157000,-0%,847,617,3.6%,5%,$42,$42, $	226.08 , $	39.88 , $	160.01 ,$84.70, $	99.17 ,$84.70,2.32%,2.25%,-0.07%,0.56%
"Fort Smith , Arkansas",35415,120300,113200,1%,666,438,4.8%,7%,$49,$49, $	69.92 , $	219.70 , $	136.86 ,$66.60, $	171.92 ,$66.60,1.23%,1.31%,0.08%,0.55%
"Greensboro , North Carolina",115501,152900,147500,0%,846,601,3.9%,9%,$78,$78, $	158.08 , $	61.71 , $	159.89 ,$84.60, $	64.42 ,$84.60,2.38%,2.47%,0.09%,0.55%
"Oklahoma City , Oklahoma",240471,153700,132000,2%,849,512,5.8%,9%,$77,$77, $	154.17 , $	385.50 , $	160.26 ,$84.90, $	220.92 ,$84.90,-0.10%,-0.12%,-0.02%,0.55%
"Cincinnati , Ohio",137281,129100,136400,-1%,709,496,4.0%,7%,$49,$49, $	208.08 , $	74.60 , $	142.54 ,$70.90, $	72.00 ,$70.90,1.52%,1.44%,-0.08%,0.55%
"Clearwater , Florida",46667,191600,205500,-1%,1052,761,3.7%,6%,$65,$65, $	149.75 , $	267.36 , $	184.22 ,$105.20, $	297.92 ,$105.20,1.76%,1.64%,-0.12%,0.55%
"Albany , New York",41207,173300,186000,-1%,951,681,3.8%,6%,$54,$54, $	436.58 , $	49.70 , $	172.52 ,$95.10, $	77.92 ,$95.10,0.99%,0.92%,-0.07%,0.55%
"Delray Beach , Florida",27609,267100,281800,-1%,1465,1120,3.0%,6%,$88,$88, $	236.08 , $	372.71 , $	228.47 ,$146.50, $	297.92 ,$146.50,1.77%,1.67%,-0.09%,0.55%
"Hialeah , Florida",72703,203700,222300,-1%,1117,812,3.6%,2%,$27,$45, $	142.33 , $	284.25 , $	191.54 ,$111.70, $	297.92 ,$111.70,2.02%,1.85%,-0.17%,0.55%
"Appleton , Wisconsin",29125,142500,139500,0%,779,520,4.6%,4%,$30,$31, $	242.67 , $	61.92 , $	151.54 ,$77.90, $	65.67 ,$77.90,1.80%,1.84%,0.04%,0.55%
"Cape Coral , Florida",64981,214700,221100,-0%,1172,870,3.4%,6%,$69,$69, $	176.67 , $	299.59 , $	197.62 ,$117.20, $	297.92 ,$117.20,1.74%,1.69%,-0.05%,0.55%
"Charlotte , North Carolina",323709,200500,174400,2%,1086,690,5.2%,6%,$64,$64, $	187.17 , $	80.92 , $	188.07 ,$108.60, $	64.42 ,$108.60,2.74%,3.15%,0.41%,0.54%
"Winston-Salem , North Carolina",94937,144400,142800,0%,782,535,4.3%,10%,$79,$79, $	136.92 , $	58.28 , $	151.92 ,$78.20, $	64.42 ,$78.20,2.31%,2.33%,0.03%,0.54%
