Location,Occupied Housing Units,Home Value 2018,Home Value 2010,Home Value CAGR,Median Rent 2018,Median Rent 2010,Rent CAGR,Rental Vacancy Rate,Vacancy Expense (monthly),Vacancy Expense Final,Taxes,Insurance Final,Capex Final,Property Management,Insurance,Capex,CoCR,CoCR If invested in 2011,CoCR Delta,Rent to Price Ratio
"San Jose , California",321835,793100,643200,2%,1970,1254,5.1%,3%,$61,$79, $	579.83 , $	114.42 , $	276.97 ,$197.00, $	66.08 ,$197.00,1.09%,1.35%,0.25%,0.25%
"Whittier , California",27605,528400,524600,0%,1312,998,3.1%,3%,$34,$52, $	354.25 , $	76.23 , $	212.66 ,$131.20, $	66.08 ,$131.20,1.10%,1.11%,0.01%,0.25%
"San Ramon , California",25150,919700,773700,2%,2282,1479,4.9%,8%,$176,$176, $	782.33 , $	132.68 , $	304.74 ,$228.20, $	66.08 ,$228.20,0.86%,1.02%,0.16%,0.25%
"Seattle , Washington",323446,605200,457900,3%,1496,884,6.0%,3%,$39,$60, $	384.33 , $	115.63 , $	231.60 ,$149.60, $	54.42 ,$149.60,1.10%,1.45%,0.35%,0.25%
"New York , New York",3154103,570500,520000,1%,1396,960,4.2%,3%,$47,$56, $	370.50 , $	163.63 , $	221.41 ,$139.60, $	77.92 ,$139.60,0.94%,1.03%,0.09%,0.24%
"Santa Clara , California",44079,927200,649400,4%,2261,1356,5.8%,3%,$70,$90, $	561.33 , $	133.76 , $	302.92 ,$226.10, $	66.08 ,$226.10,1.22%,1.75%,0.52%,0.24%
"Pleasanton , California",28498,933500,790100,2%,2251,1444,5.1%,4%,$86,$90, $	601.67 , $	134.67 , $	302.05 ,$225.10, $	66.08 ,$225.10,1.15%,1.36%,0.21%,0.24%
"Long Beach , California",166460,519300,512700,0%,1252,945,3.2%,4%,$44,$50, $	318.58 , $	74.92 , $	206.29 ,$125.20, $	66.08 ,$125.20,1.10%,1.12%,0.01%,0.24%
"Hawthorne , California",29281,499200,502200,-0%,1188,923,2.8%,2%,$27,$48, $	369.42 , $	72.02 , $	199.37 ,$118.80, $	66.08 ,$118.80,0.92%,0.91%,-0.01%,0.24%
"Burbank , California",41505,688500,614600,1%,1630,1192,3.5%,3%,$42,$65, $	412.92 , $	99.33 , $	244.88 ,$163.00, $	66.08 ,$163.00,1.12%,1.26%,0.14%,0.24%
"Alhambra , California",29427,582600,521300,1%,1349,1063,2.7%,1%,$16,$54, $	372.50 , $	84.05 , $	216.54 ,$134.90, $	66.08 ,$134.90,1.00%,1.12%,0.12%,0.23%
"Torrance , California",54360,724700,671600,1%,1672,1286,3.0%,3%,$42,$67, $	474.17 , $	104.55 , $	248.96 ,$167.20, $	66.08 ,$167.20,1.01%,1.09%,0.08%,0.23%
"Los Angeles , California",1373864,599700,559700,1%,1376,971,3.9%,4%,$48,$55, $	382.92 , $	86.52 , $	219.35 ,$137.60, $	66.08 ,$137.60,0.99%,1.06%,0.07%,0.23%
"San Mateo , California",38583,1007200,772900,3%,2301,1413,5.6%,4%,$101,$101, $	618.75 , $	145.30 , $	306.39 ,$230.10, $	66.08 ,$230.10,1.07%,1.40%,0.32%,0.23%
"Redondo Beach , California",27621,875000,785600,1%,1987,1487,3.3%,4%,$79,$79, $	569.00 , $	126.23 , $	278.52 ,$198.70, $	66.08 ,$198.70,1.01%,1.12%,0.11%,0.23%
"Boulder , Colorado",42643,645600,491300,3%,1466,948,5.0%,4%,$57,$59, $	287.00 , $	273.51 , $	228.57 ,$146.60, $	118.08 ,$146.60,0.88%,1.15%,0.28%,0.23%
"Urban Honolulu, Hawaii",128814,652200,524600,2%,1465,1043,3.8%,7%,$97,$97, $	155.25 , $	32.76 , $	228.47 ,$146.50, $	28.08 ,$146.50,1.48%,1.84%,0.36%,0.22%
"Bethesda, Maryland",25507,897400,830800,1%,2004,1636,2.3%,5%,$100,$100, $	721.00 , $	206.06 , $	280.07 ,$200.40, $	72.17 ,$200.40,0.66%,0.72%,0.05%,0.22%
"Pasadena , California",54394,737100,659300,1%,1598,1158,3.6%,3%,$51,$64, $	452.50 , $	106.34 , $	241.74 ,$159.80, $	66.08 ,$159.80,0.93%,1.04%,0.11%,0.22%
"Alameda , California",30365,797300,669200,2%,1720,1185,4.2%,3%,$46,$69, $	586.08 , $	115.02 , $	253.58 ,$172.00, $	66.08 ,$172.00,0.79%,0.94%,0.15%,0.22%
"Oakland , California",161483,627800,532500,2%,1354,926,4.3%,2%,$30,$54, $	488.33 , $	90.57 , $	217.06 ,$135.40, $	66.08 ,$135.40,0.70%,0.83%,0.13%,0.22%
"Glendale , California",73871,724800,646900,1%,1529,1114,3.6%,3%,$38,$61, $	414.25 , $	104.56 , $	234.91 ,$152.90, $	66.08 ,$152.90,0.93%,1.04%,0.11%,0.21%
"Sunnyvale , California",55938,1111800,722700,5%,2332,1361,6.2%,4%,$84,$93, $	621.50 , $	160.39 , $	309.07 ,$233.20, $	66.08 ,$233.20,0.99%,1.52%,0.53%,0.21%
"Newton , Massachusetts",30849,886100,714000,2%,1829,1391,3.1%,2%,$31,$73, $	726.83 , $	231.88 , $	263.92 ,$182.90, $	99.17 ,$182.90,0.47%,0.59%,0.11%,0.21%
"Redwood City , California",30157,1127100,820800,4%,2148,1260,6.1%,2%,$49,$86, $	599.42 , $	162.60 , $	292.99 ,$214.80, $	66.08 ,$214.80,0.84%,1.16%,0.31%,0.19%
"Mountain View , California",33707,1214800,783600,5%,2314,1354,6.1%,5%,$109,$109, $	718.42 , $	175.25 , $	307.51 ,$231.40, $	66.08 ,$231.40,0.76%,1.18%,0.42%,0.19%
"San Francisco , California",359673,1009500,801000,3%,1805,1264,4.0%,3%,$52,$72, $	650.50 , $	145.64 , $	261.66 ,$180.50, $	66.08 ,$180.50,0.59%,0.74%,0.15%,0.18%
"Santa Barbara , California",36699,993600,991500,0%,1737,1311,3.2%,2%,$31,$69, $	504.67 , $	143.34 , $	255.21 ,$173.70, $	66.08 ,$173.70,0.71%,0.71%,0.00%,0.17%
"Berkeley , California",44978,938400,728600,3%,1612,1120,4.1%,3%,$40,$64, $	665.92 , $	135.38 , $	243.12 ,$161.20, $	66.08 ,$161.20,0.44%,0.56%,0.13%,0.17%
"Santa Monica , California",45487,1242100,998800,2%,1734,1345,2.9%,2%,$28,$69, $	715.58 , $	179.19 , $	254.92 ,$173.40, $	66.08 ,$173.40,0.33%,0.41%,0.08%,0.14%
"Palo Alto , California",26212,2000000,2000000,0%,2471,1567,5.2%,4%,$109,$109, $	833.33 , $	288.53 , $	320.92 ,$247.10, $	66.08 ,$247.10,0.40%,0.40%,0.00%,0.12%
"Newport Beach , California",37870,1787300,1000000,7%,2175,1789,2.2%,9%,$185,$185, $	833.33 , $	257.84 , $	295.38 ,$217.50, $	66.08 ,$217.50,0.26%,0.46%,0.20%,0.12%
